SQL,database,question
"SELECT T3.Player_name ,  T3.gender FROM player_coach AS T1 JOIN coach AS T2 ON T1.Coach_ID  =  T2.Coach_ID JOIN player AS T3 ON T1.Player_ID  =  T3.Player_ID WHERE T1.Starting_year  >  2011",riding_club,"Show the names and genders of players with a coach starting after 2011.
"
"SELECT DISTINCT COUNT ( DISTINCT t3.paperid ) FROM paperkeyphrase AS t1 JOIN keyphrase AS t4 ON t1.keyphraseid  =  t4.keyphraseid JOIN writes AS t3 ON t3.paperid  =  t1.paperid JOIN author AS t2 ON t3.authorid  =  t2.authorid WHERE t2.authorname  =  ""Ed Desmond"" AND t4.keyphrasename  =  ""Semantic Parsing"";",scholar,"How many paper has Ed Desmond written about Semantic Parsing ?
"
"SELECT T2.customer_first_name ,  T1.customer_id FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >=  2",customers_and_invoices,"What are the first names and ids for customers who have two or more accounts?
"
SELECT formats FROM files GROUP BY formats ORDER BY COUNT (*) DESC LIMIT 1,music_1,"Find the file format that is used by the most files.
"
"SELECT DISTINCT t3.paperid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""Liwen Xiong"" AND t3.year  =  2015;",scholar,"What papers did Liwen Xiong publish last year ?
"
SELECT bname FROM bank WHERE state  =  'New York',loan_1,"What are the names of banks in the state of New York?
"
"SELECT count(*) ,  avg(age) ,  city_code FROM student GROUP BY city_code",dorm_1,"Find the number and average age of students living in each city.
"
"SELECT allergy ,  allergytype FROM Allergy_type",allergy_1,"Show all allergies and their types.
"
"SELECT T1.product_name ,  T2.color_description ,  T1.product_description FROM products AS T1 JOIN Ref_colors AS T2 ON T1.color_code  =  T2.color_code WHERE product_category_code  =  ""Herbs""",products_gen_characteristics,"What are the names, color descriptions, and product descriptions for products in the 'Herbs' category?
"
"SELECT mID ,  avg(stars) FROM Rating GROUP BY mID HAVING count(*)  >=  2",movie_1,"For each movie that received more than 3 reviews, what is the average rating?
"
SELECT T1.course_name FROM Courses AS T1 JOIN Student_Course_Enrolment AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name HAVING COUNT(*)  =  1,e_learning,"Find the names of the courses that have just one student enrollment.
"
"SELECT eid ,  salary FROM Employee WHERE name  =  'Mark Young'",flight_1,"Show the id and salary of Mark Young.
"
SELECT count(DISTINCT FDA_approved) FROM medicine,medicine_enzyme_interaction,"How many distinct FDA approval statuses are there for the medicines?
"
"SELECT T3.ssn ,  T3.name FROM assignedto AS T1 JOIN projects AS T2 ON T1.project  =  T2.code JOIN scientists AS T3 ON T1.scientist  =  T3.SSN WHERE T2.hours  =  (SELECT max(hours) FROM projects)",scientist_1,"What are the SSN and names of scientists working on the project with the most hours?
"
"SELECT avg(age) ,  job FROM Person WHERE gender  =  'male' GROUP BY job",network_2,"What is average age of male for different job title?
"
SELECT count(DISTINCT gtype) FROM Video_games,game_1,"How many video game types exist?
"
SELECT count(*) FROM ship,ship_mission,"What is the number of ships?
"
SELECT lname FROM authors ORDER BY lname,icfp_1,"Retrieve all the last names of authors in alphabetical order.
"
SELECT subject_name FROM SUBJECTS,e_learning,"What are the names of all the subjects.
"
SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Morning',program_share,"Which channels are broadcast in the morning? Give me the channel names.
"
"SELECT Date_Claim_Made ,  Date_Claim_Settled FROM Claims WHERE Amount_Claimed  >  ( SELECT avg(Amount_Claimed) FROM Claims )",insurance_policies,"Give me the claim date, settlement date for all the claims whose claimed amount is larger than the average.
"
"SELECT DISTINCT T1.EMP_FNAME ,  T1.EMP_DOB FROM employee AS T1 JOIN CLASS AS T2 ON T1.EMP_NUM  =  T2.PROF_NUM WHERE CRS_CODE  =  ""ACCT-211""",college_1,"What are the first names and date of birth of professors teaching course ACCT-211?
"
SELECT count(*) FROM purchase AS T1 JOIN member AS T2 ON T1.member_id  =  T2.member_id WHERE T2.level  =  6,shop_membership,"What are the total purchases for members rated at level 6?
"
"SELECT Team FROM Elimination WHERE Eliminated_By  =  ""Orton"" INTERSECT SELECT Team FROM Elimination WHERE Eliminated_By  =  ""Benjamin""",wrestler,"Show the teams that have both wrestlers eliminated by ""Orton"" and wrestlers eliminated by ""Benjamin"".
"
"SELECT invoice_number FROM invoices WHERE invoice_date < ""1989-09-03"" OR invoice_date > ""2007-12-25""",tracking_orders,"What are the invoice numbers created before 1989-09-03 or after 2007-12-25?
"
"SELECT count(*) FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid WHERE T2.name = ""Australian Grand Prix"" AND YEAR = 2009",formula_1,"How many drivers were in the Australian Grand Prix held in 2009?
"
"SELECT T3.dept_name  ,  T2.prof_office FROM employee AS T1 JOIN professor AS T2 ON T1.emp_num  =  T2.emp_num JOIN department AS T3 ON T2.dept_code  =  T3.dept_code WHERE T1.emp_lname  =  'Heffington'",college_1,"What is the name of the department and office location for the professor with the last name of Heffington?
"
SELECT count(*) FROM airports AS T1 JOIN routes AS T2 ON T1.apid  =  T2.dst_apid WHERE T1.name  =  'John F Kennedy International Airport',flight_4,"What is the number of routes that end at John F Kennedy International Airport?
"
"SELECT T1.artist_name ,  T1.gender FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.releasedate LIKE ""%Mar%""",music_1,"List the name and gender for all artists who released songs in March.
"
"SELECT T1.bname ,  T1.city FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.loan_type  =  'Business'",loan_1,"Find the city and name of bank branches that provide business loans.
"
SELECT document_id FROM Documents_with_expenses WHERE budget_type_code  =  'SF',cre_Docs_and_Epenses,"Give the ids of documents with expenses that have the budget code 'SF'.
"
"SELECT sum(enrollment) ,  affiliation FROM university GROUP BY affiliation",university_basketball,"What are the total enrollments of universities of each affiliation type?
"
SELECT FacID FROM Faculty EXCEPT SELECT advisor FROM Student,activity_1,"What are the ids of the faculty members who do not advise any student.
"
"SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers",insurance_and_eClaims,"What are the total amount and average amount paid in claim headers?
"
"SELECT Pilot_name FROM pilot WHERE Team  =  ""Bradley"" OR Team  =  ""Fordham""",pilot_record,"Show the names of pilots from team ""Bradley"" or ""Fordham"".
"
"SELECT document_name ,  document_date FROM Documents AS T1 JOIN projects AS T2 ON T1.project_id  =  T2.project_id WHERE T2.project_details  =  'Graph Database project'",cre_Docs_and_Epenses,"What are the names and dates for documents corresponding to project that has the details 'Graph Database project'?
"
"SELECT TYPE ,  COUNT(*) FROM ship GROUP BY TYPE",ship_mission,"For each type, how many ships are there?
"
"SELECT min(T1.duration) ,  min(T2.rating) ,  T2.genre_is FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id GROUP BY T2.genre_is ORDER BY T2.genre_is",music_1,"What is the shortest and most poorly rated song for each genre, ordered alphabetically by genre?
"
"SELECT DISTINCT t3.venueid FROM paperdataset AS t2 JOIN dataset AS t1 ON t2.datasetid  =  t1.datasetid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.datasetname  =  ""ImageNet"";",scholar,"conferences that mention ImageNet
"
"SELECT count(*) ,  POSITION FROM player WHERE points  <  30 GROUP BY POSITION",sports_competition,"find the number of players whose points are lower than 30 in each position.
"
"SELECT T1.organisation_id ,  T1.organisation_type ,  T1.organisation_details FROM Organisations AS T1 JOIN Research_Staff AS T2 ON T1.organisation_id  =  T2.employer_organisation_id GROUP BY T1.organisation_id ORDER BY count(*) DESC LIMIT 1",tracking_grants_for_research,"What are the ids, types, and details of the organization with the most research staff?
"
"SELECT COUNT ( DISTINCT t4.title ) FROM domain_author AS t6 JOIN author AS t1 ON t6.aid  =  t1.aid JOIN DOMAIN AS t3 ON t3.did  =  t6.did JOIN domain_publication AS t2 ON t3.did  =  t2.did JOIN organization AS t5 ON t5.oid  =  t1.oid JOIN publication AS t4 ON t4.pid  =  t2.pid WHERE t3.name  =  ""Databases"" AND t5.name  =  ""University of Michigan"";",academic,"return me the number of papers in "" University of Michigan "" in Databases area .
"
"SELECT T1.date_of_enrolment ,  T1.date_of_completion FROM Student_Course_Enrolment AS T1 JOIN Students AS T2 ON T1.student_id  =  T2.student_id WHERE T2.family_name  =  ""Zieme"" AND T2.personal_name  =  ""Bernie""",e_learning,"On what dates did the student with family name ""Zieme"" and personal name ""Bernie"" enroll in and complete the courses?
"
SELECT Name FROM county_public_safety WHERE County_ID NOT IN (SELECT County_ID FROM city),county_public_safety,"What are the names of counties that do not contain any cities?
"
SELECT policy_type_code FROM available_policies GROUP BY policy_type_code HAVING count(*)  >  4,insurance_fnol,"Find the policy types more than 4 customers use. Show their type code.
"
"SELECT state_name FROM city WHERE city_name  =  ""springfield"";",geo,"what state is springfield located in
"
"SELECT DISTINCT t3.paperid  ,  t3.year FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""deep learning"" ORDER BY t3.year DESC;",scholar,"new deep learning papers
"
"SELECT T2.Season ,  T2.Player ,  T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country",match_season,"For each player, what are their name, season, and country that they belong to?
"
SELECT DISTINCT Venue FROM debate,debate,"Show the distinct venues of debates
"
SELECT customer_details FROM customers UNION SELECT staff_details FROM staff,insurance_and_eClaims,"Find the names of all the customers and staff members.
"
"SELECT Party ,  COUNT(*) FROM representative GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1",election_representative,"What is the party that has the largest number of representatives?
"
SELECT name FROM track WHERE track_id NOT IN (SELECT track_id FROM race),race_track,"Return the names of tracks that have no had any races.
"
SELECT T1.Famous_Title FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID  =  T2.Artist_ID WHERE T2.Weeks_on_Top  >  2,music_4,"What are the famous title of the artists associated with volumes with more than 2 weeks on top?
"
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",student_assessment,"List the id of students who registered course statistics in the order of registration date.
"
SELECT Name FROM pilot WHERE Age  <=  30 ORDER BY Name DESC,aircraft,"List names of all pilot aged 30 or younger in descending alphabetical order.
"
SELECT T2.lastname FROM Performance AS T1 JOIN Band AS T2 ON T1.bandmate  =  T2.id JOIN Songs AS T3 ON T3.SongId  =  T1.SongId GROUP BY lastname ORDER BY count(*) DESC LIMIT 1,music_2,"What is the last name of the musician who was in the most songs?
"
SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );,geo,"what state has the sparsest population density
"
"SELECT count(*) FROM Student_Tests_Taken WHERE test_result  =  ""Fail""",e_learning,"How many tests have result ""Fail""?
"
SELECT LOCATION FROM track WHERE seating  >  90000 INTERSECT SELECT LOCATION FROM track WHERE seating  <  70000,race_track,"What are the locations that have both tracks with more than 90000 seats, and tracks with fewer than 70000 seats?
"
SELECT name FROM Person WHERE job  =  'student' AND age  =  (SELECT max(age) FROM person WHERE job  =  'student' ),network_2,"Who is the oldest person whose job is student?
"
SELECT Allergy FROM Has_allergy GROUP BY Allergy ORDER BY count(*) DESC LIMIT 1,allergy_1,"Which allergy has most number of students affected?
"
"SELECT login_name FROM Students WHERE family_name  =  ""Ward""",e_learning,"Return the login names of the students whose family name is ""Ward"".
"
SELECT COUNT ( DISTINCT text ) FROM tip WHERE YEAR  =  2015;,yelp,"How many tips have been written in 2015
"
"SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",product_catalog,"Find all the catalog publishers whose name contains ""Murray""
"
"SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  ""Boeing 737-800""",flight_1,"What are the names of all employees who have a certificate to fly Boeing 737-800?
"
SELECT title FROM course WHERE course_id IN (SELECT T1.prereq_id FROM prereq AS T1 JOIN course AS T2 ON T1.course_id  =  T2.course_id WHERE T2.title  =  'International Finance'),college_2,"What is the title of the prerequisite class of International Finance course?
"
SELECT T1.name FROM student AS T1 JOIN advisor AS T2 ON T1.id  =  T2.s_id GROUP BY T2.s_id HAVING count(*)  >  1,college_2,"Find the name of the students who have more than one advisor?
"
"SELECT document_id FROM Documents WHERE document_status_code  =  ""done"" AND document_type_code = ""Paper"" INTERSECT SELECT document_id FROM Documents JOIN Ref_Shipping_Agents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Ref_Shipping_Agents.shipping_agent_name = ""USPS"";",cre_Doc_Control_Systems,"List document id of documents status is done and document type is Paper and the document is shipped by shipping agent named USPS.
"
"SELECT T2.Name FROM Grapes AS T1 JOIN WINE AS T2 ON T1.Grape  =  T2.Grape WHERE T1.Color  =  ""Red"" AND T2.price  >  50",wine_1,"What are the wines that have prices higher than 50 and made of Red color grapes?
"
"SELECT name_first ,  name_last FROM player WHERE death_year = '';",baseball_1,"What are the first name and last name of the players whose death record is empty?
"
SELECT student_id FROM student_course_attendance WHERE course_id  =  301,student_assessment,"What are the id of students who registered course 301?
"
"SELECT t1.name FROM publication AS t4 JOIN conference AS t2 ON t4.cid  =  t2.cid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  ""VLDB"" GROUP BY t1.name ORDER BY COUNT ( DISTINCT t4.title ) DESC LIMIT 1;",academic,"return me the author who has the most number of papers in the VLDB conference .
"
SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician ORDER BY T2.dose DESC LIMIT 1,hospital_1,"What are the names of the physician who prescribed the highest dose?
"
SELECT count(*) FROM journalist,news_report,"How many journalists are there?
"
